,title,singer,lyrics
13,"사랑, 지나고 나면 아무 것도 아닐 마음의 사치",김윤아,"사랑 빛나던 이름 
그리운 멜로디 아련히 남은 상처 
지울 수 없을 사랑 지나고 나면 
아무것도 아닐 그 마음의 사치에 
그는 더운 가슴도 찬란한 청춘도 
내일이 없는 듯이 소모해버리고 
그의 마음엔 온기가 남지 않고 
그의 두눈엔 눈물이 남지 않고 

사랑 지나고 나면 
아무 것도 아닐 그 마음의 사치에 
가진 모든 것을 다 소모해버리고 
그에겐 아무 것도 남지 않았지 
그 날 이후 나는 죽었소 
눈물대신 말을 그는 토하고 
피도 살도 영혼도 내겐 남지 않았소 
죽지 않은 것은 나의 혼뿐 
사랑 사랑 사랑 사랑 
지나고 나면 아무 것도 아닐 
그 마음의 사치에 
가진 모든 것을 다 소모해버리고 
그에겐 아무 것도 남지 않았지 
남지 않았지 남지 않았지 

사랑 지나고 나면 아무것 아닌 것을 
사랑 지나고 나면 아무것 아닌 것을"
14,담,김윤아,"담(with piano)

우리 사이엔 낮은 담이 있어 내가 하는 말이 당신에게 가 닿지 않아요
내가 말하려 했던 것들을 당신이 들었더라면
당신이 말 할 수 없던 것들을 내가 알았더라면
우리 사이엔 낮은 담이 있어 부서진 내 마음도 당신에겐 보이지 않아요
나의 깊은 상처를 당신이 보았더라면
당신 어깨에 앉은 긴 한숨을 내가 보았더라면
우리 사이엔 낮은 담이 있어 서로의 진실을 안을 수가 없어요
이미 돌이킬 수 없을 마음의 상처
서로 사랑하고 있다 해도 이젠 소용없어요
나의 닫힌 마음을 당신이 열었더라면
당신 마음에 걸린 긴 근심을 내가 덜었더라면
이미 돌이킬 수 없을 마음의 상처
서로 사랑하고 있다 해도 이젠 소용없어요
우리 사이엔 낮은 담이 있어 서로의 진실을 안을 수가 없어요



† 文 兒 潾 †"
15,길,김윤아,"아무도 가르쳐 주지 않아
이 길이 옳은지 다른 길로 가야 할지
난 저길 저 끝에 다 다르면 멈추겠지
끝이라며

가로막힌 미로 앞에 서 있어
내 길을 물어도 대답 없는 메아리
어제와 똑같은 이 길에 머물지 몰라
저 거미줄 끝에 꼭 매달린 것처럼

세상 어딘가 저 길 가장 구석에
갈 길을 잃은 나를 찾아야만 해
저 해를 삼킨 어둠이 오기 전에
긴 벽에 갇힌 나의 길을 찾아야만 하겠지

가르쳐줘 내 가려진 두려움
이 길이 끝나면 다른 길이 있는지
두 발에 뒤엉킨 이 매듭 끝을 풀기엔
내 무뎌진 손이 더 아프게 조여와 

세상 어딘가 저 길 가장 구석에
갈 길을 잃은 나를 찾아야만 해
저 해를 삼킨 어둠이 오기 전에
긴 벽에 갇힌 나의 길을 찾아야만 하겠지"
16,안녕,김윤아,"우리들의 얘기가
마지막 장을 향하네
발걸음 돌이키며
안녕
안녕
우린 여기까지인가 봐

새벽이 밝아오네
조용히 차가운 숨을 내쉬며 
시간이 다가오네
조금씩 그러나 쉼 없이

흘러가는 시간처럼
우리의 인연도 흘러 흘러
거슬러 올라갈 수 없는 곳에 닿았어

우리들의 얘기가

인연에도 시작과 끝이
정해져 있는가 봐
발버둥 쳐도 흩어질 인연은
흩어져만 가네
다만 행복하길 바랄 뿐
어지러운 세상 속에서
잡을 수 없는 것은
잡을 수 없는 대로

새날이 밝아오네
조용히 냉정한 표정으로
햇살이 눈부시게 
부서져 슬픔을 말할 수 없어

흘러가는 시간처럼
우리의 인연도 흘러 흘러
거슬러 올라갈 수 없는 곳에 닿았어

우리들의 얘기도
특별할 것 하나 없어
사람들 모두 그렇듯 안녕하고 
그냥 스쳐 지나면 돼  

우리들의 얘기가
마지막 장을 향하네
가만히 그 뒷모습 바라본다

안녕"
17,키리에,김윤아,"쉴 새 없이 가슴을 
내리치는 이 고통은
어째서 나를 죽일 수 없나
가슴 안에 가득 찬 
너의 기억이, 흔적이
나를 태우네
나를 불태우네

울어도 울어도 
네가 돌아올 수 없다면
이건 꿈이야
이건 꿈이야
꿈이야

불러도 불러도 
너는 돌아올 수가 없네
나는 지옥에
나는 지옥에 있나 봐

쉴 새 없이 가슴을 
내리치는 이 고통은
어째서 나를 죽일 수 없나
차라리 지금 이대로 눈을 감고
다시는 깨어나지 않을 수 있다면

차라리 지금 이대로 눈을 감으면
다시는 깨어나지 않을 수 있기를

울어도 울어도 
네가 돌아올 수 없다면
이건 꿈이야
이건 꿈이야
꿈이야

불러도 불러도 
너는 돌아올 수가 없네
나는 지옥에
나는 지옥에 있나 봐

쉴 새 없이 가슴을 
내리치는 이 고통은
어째서 나를 죽일 수 없나"
18,자각몽 (Feat. 올티),김윤아,"하루만 또 하루만 다시 널 볼 수만 있다면 
더 멀리 더 깊이 날 데려가 줘 날 이끌어줘

투명한 너의 모습과 달콤한 목소리
조용히 날 감싸고 
그대가 좋아했던 나의 미소로
다시 Falling Falling Falling again
잠이 들죠 

막이 내리듯 눈이 감겨 암전이 돼
또 떨어지는 눈물에 잠겨 감정의 댐
버티는 것도 난 숨이 막혀 잠깐 너의 모습이 나와도
난 알아 모든게 꿈이란 걸 

So little Time So Little Sign
네가 살고 있는 이곳엔
그대는 여전히
내 볼을 어루만져 주는데 

날 향해 다가오는 검은 그림자 
꿈을 깨우는 회오리가 또 다른 세상에
놓지 말아줘 깨지 말아줘

태양처럼 빛나던 너의 눈, 코, 입
난 여전히 네 그늘 밑에서 널 그리고 있지
넘 눈부셔서 눈이 멀어버릴 듯한 환상에 잠긴 채
넌 흐려졌어 둘이 걸었던 시간의 잔상을 남긴 채
눈을 떠도 널 볼 수 없어 너의 향기를 맡을 수 없어
목이 찢겨나갈 듯 널 불러도 너의 대답을 들을 수 없어
꿈만 같던 날 그 기억의 끝을 잡아 또
도망치듯이 떠나 마주친 널 보고 잠깐 멍
그때 깨어나

So little Time So Little Sign
네가 살고 있는 이곳엔 
그대는 여전히
내 볼을 어루만져 주는데 
날 향해 다가오는 검은 그림자 
꿈을 깨우는 회오리가 
또 다른 세상에 놓지 말아줘 깨지 말아줘

눈 감아야만 널 볼 수 있어 소리 내어 부를 수 있어
오직 너와 나만의 평화로만 가득한 바로 여기서
너의 숨, 너의 품, 너의 모든 흔적을 느낄 수 있는 것들
너의 온기를 다시 보여주기를 바래 감당해 차가운 밤의 어둠 
(Falling Deep Again)
그 느낌처럼 살아있어도 난 죽은듯해 
멈춰버린 너와의 시간에 잠긴 후로 
(Falling Deep Again)
아득히 멀어 보이는 내 긴 꿈의 끝엔
네 옆에서 눈 뜨길 바라며 잠이 들어

Let me go, Let me dream
너의 품이 또 그리워서
이대로 영원히 깰 수 없어도 나는 괜찮아
So little time, So little sign
내 가슴엔 네 총소리가 널 두고 가라고 
날 밀어내고 넌 소리치고 

하루만 또 하루만 
하루만 또 하루만"
19,강,김윤아,"너의 이름 노래가 되어서
가슴 안에 강처럼 흐르네
흐르는 그 강을 따라서 가면
너에게 닿을까
언젠가는 너에게 닿을까

그리움은 바람이 되어서
가슴 안을 한없이 떠도네
너의 이름을 부르며 강은 흐르네
다시 돌아오지 못할 곳으로
누가 너의 손을 잡아 줄까

홀로 남겨진 외로움과
산산이 부서진 이 마음과
붙잡아 둘 수 없는 기억들이
그 강을 채워 넘치네
너의 이름도 너의 목소리도
너를 품에 안았던 순간들도
덧없이 흩어져버리네
강으로
그 강으로

너의 이름 노래가 되어서
가슴 안에 강처럼 흐르네
흐르는 그 강을 따라 나를 버리면
너를 다시 볼 수 있을까
강은 흘러흘러 사라져만 가네

강은 흘러흘러"
20,독,김윤아,"아무도 너를 구할 수 없어
어둡고 작은 방에서 
넌 우두커니
너를 바라보는 
어둠을 바라보았지
누구의 체온으로도
단단한 너의 외로움 녹일 수 없어
언제나 너의 마음 안엔
바람이 이네
우
마음 안엔 언제나
우
바람이 이네

네가 바라보던 어둠이
언젠가는 너를
데려갈 줄 알았어
버려진 기억은 독이 되어
너의 마음을 해치네
내가 널 구할 수 없었을까
누군가 너를 구할 수 없었을까
너를 데려간 어둠만이 
허공을 떠도네
우
너를 데려간 어둠이
우
내 안을 떠도네"
21,안녕,김윤아,"우리들의 얘기가
마지막 장을 향하네
발걸음 돌이키며
안녕
안녕
우린 여기까지인가 봐

새벽이 밝아오네
조용히 차가운 숨을 내쉬며
시간이 다가오네
조금씩 그러나 쉼 없이
흘러가는 시간처럼
우리의 인연도 흘러 흘러
거슬러 올라갈 수 
없는 곳에 닿았어.

우리들의 얘기가

인연에도 시작과 끝이 
정해져 있는 가 봐
발버둥 쳐도 흩어질 인연은
흩어져만 가네
다만 행복하길 바랄 뿐
어지러운 세상 속에서
잡을 수 없는 것은
잡을 수 없는 대로
새날이 밝아오네
조용히 냉정한 표정으로
햇살이 눈부시게
부서져 슬픔을 말할 수 없어

흘러가는 시간처럼
우리의 인연도 흘러 흘러
거슬러 올라갈 수 
없는 곳에 닿았어
우리들의 얘기도
특별할 것 하나 없어
사람들 모두 그렇듯 안녕하고
그냥 스쳐 지나면 돼

우리들의 얘기가
마지막 장을 향하네
가만히 그 뒷모습 바라본다

안녕"
22,Girl Talk,김윤아,"열일곱 또는 열셋의 나
모순덩어리인 그 앨 안고 
다정히 등을 다독이며 
조근조근 말하고 싶어 

수많은 사람들과 넌 만나게 될 거야 
울고 웃고 느끼고 
누구도 믿을 수 없었고 
세상은 위선에 가득 차 
너는 아무도 널 찾지 못할 그곳을 향해 
달려, 달려 도망치려 했지만 
아무리 애를 써 벗어나려 해도 
너의 힘으론 무리였지 

더딘 하루, 하루를 지나 
스물다섯, 서른이 되어도 
여전히 답은 알 수 없고 
세상은 미쳐 있을 테지 

그래 넌 사람이 토하는 
검은 기운 속에 진저리를 치며 
영혼을 팔아 몸을 채우며 살아남진 않으리라 
주먹을 꼭 쥐며 다짐하고 또 다짐하겠지 

너는 반짝이는 작은 별 
아직은 높이 뜨지 않은 
생이 네게 열어줄 길은 
혼란해도 아름다울 거야 

수많은 사람들과 넌 만나게 될 거야 
사랑도 미움도 널 더욱 자라게 할 거야 
마음 안의 분노도 불안도 
그저 내버려두면 넘쳐 흘러갈 거야 

랄- 랄라라라라라 라라라 라라라  
랄- 랄라라라라라 라라라 라라라 

열일곱 또는 열셋의 나 상처투성인 그 앨 안고 
다정히 등을 다독이며 사랑한다 말하고 싶어 

랄라라라라 라라라라
랄라라라라 라라라라-"
23,다 지나간다,김윤아,"지난밤은 열병에 시달리다
어지러운 상념에 잠 못 들고
괴로운 순간들이면 나도 모르게
기도처럼 읊조리며 
나를 다독인다.

다 지나간다.
다 잊혀진다.
상처는 아물어
언젠가는 꽃으로 피어난다.

다 지나간다.
모두 지워진다.
시간은 흐른다.
상처는 아물어 사라진다.

어두운 밤이면
별빛은 더 깊어진다.

다 지나간다
다 잊혀진다
상처는 아물어
언젠가 꽃으로 피어난다.

다 지나간다.
모두 잊혀진다.
시간은 흐른다.
상처는 아물어 사라진다."
24,작은 꽃,김윤아,"조용한 밤
잠에서 깨어
뜰 앞에 나갔더니
언제 피었는지 모를
하얀 작은 꽃

풀 잎이
흔들리는 소리에
뜰 앞에 나갔더니
아무도 없는데 홀로
피어 있는 작은 꽃

차가운 강물에
얼굴을 씻어 보아도
내 마음은 흘러 가질 않네
그럴 수만 있다면

풀 잎이
흔들리는 소리에
뜰 앞에 나갔더니
아무도 없는데 홀로
피어 있는 작은 꽃

차가운 바람에
두 눈을 씻어 보아도
내 마음은 돌아 오질 않네
그럴 수만 있다면

조용한 밤
잠에서 깨어
뜰 앞에 나갔더니
언제 피었는지 모를
하얀 작은 꽃"
25,불안은 영혼을 잠식한다.,김윤아,"불안은 영혼을 잠식하여
진청의 그림자를 드리우고
단꿈에 마음은 침식되어 깨지 않을 긴 잠에 든다

내게도 이름이 있었단들 이미 잊은지 오래인 노래
아 부서진 멜로디만 입가에 남아 울고있네

검푸른 저 숲속에도 새들은 날아들고
아 깨지 않을 긴 잠에 든다

내게도 이름이 있었단들 이미 잊은지 오래인 노래
아 부서진 멜로디만 입가에 남아 울고있네

붉게 멍울진 맘에는 일상도 꿈도 투명하여 
아 깨지않을 긴 잠에 든다

불안은 영혼을 잠식하여 진청의 그림자를 드리우고
단꿈에 마음은 침식되어 깨지않을 긴 잠에 든다"
26,나는 위험한 사랑을 상상한다.,김윤아,"나는 위험한 사랑을 상상한다
위험한 사랑의 상상은 날 위안한다
 당신같은 위험한 사람
 식품처럼 소모될 열정
 불안하고 달콤한 
 나른하고 숨이 멎을듯한
 죄의식과 행복의 기묘한 일체

 나는 위험한 사랑을 상상한다
위험한 사랑의 상상은 날 위안한다
 결국은 허무하게
 모래처럼 날려 사라질
 소진할 열정에 달콤한 폭주
 음~ 차갑고 농밀한 나의 열정이
 내 눈먼 영혼을 잠식하면
 뜨겁고 농염한 죄의 입맞춤
 타락의 나락 그 황홀

나는 위험한 사랑을 상상한다
 위험한 사랑의 상상은 날 위안한다
 당신같은 위험한 사람
 식품처럼 소모될 열정
 불안하고 달콤한 
 나른하고 숨이 멎을듯한
 죄의식과 행복의 기묘한 일체
 차갑고 농밀한 나의 열정이
 내 눈먼 영혼을 잠식하면
 뜨겁고 농염한 죄의 입맞춤
 타락의 나락 그 황홀"
27,유리,김윤아,"우리는 유리처럼 나약해
곧잘 깨져서는 서로를 할퀴네
절망처럼 검은 밤이면
서로의 체온 속을 파고들면서도

덩굴처럼 얽혀서 
가시 돋친 꽃을 피우지
상처 입고 상처 입히면서
눈물을 먹고 자라는 
가시 돋친 꽃의 이름을
행복이라 부르지
행복은 아름다워

서로의 품 안에서도 우리들은
외로워서
괴로워서
언제나 누군가가 
어딘가가 무언가가
그리워서
두려워서
때로 노래가 사라지고 
깊은 어둠이 오면
아무도 아무것도 남지 않고
우우우…

우리는 유리처럼 나약해
곧잘 깨져서는 자신을 할퀴네
그저 한 숨의 위안을 얻으려
가장 소중한 것을 내보이며 웃네

미로처럼 얽혀서
어디 서있는지는 몰라도
살아있으니까 살아가고
언젠가는 무언가를 찾으리라
자신을 위로하며
매일을 이어가지
인생은 아름다워

우리는 유리처럼 나약해
우리는 유리처럼 나약해
우리는 유리처럼 나약해
우리는 유리처럼 나약해

인생은 아름다워"
28,타인의 고통,김윤아,"미안해
너에게 해줄 수 있는 게
그리 많지 않았어
비겁한 무력한
이런 나라서 너무 미안해

한 방울 한 방울
너의 눈을 적시던 
눈물을 헤아려보네
하나 둘 한없이
너의 마음에 쌓이던 
의문을 되뇌어보네

이 세상은 언제나 
이해할 수 없는 
모순에 가득 차 있고
사람들은 말하지
우리들은 아직 어리고 
어리석을 뿐이라고

한 방울 한 방울
너의 눈을 적시던
눈물을 헤아려보네
하나 둘 한없이
너의 마음에 쌓이던 
의문을 되뇌어보네

잔인하고 슬픈 얘기들을
사람들 아무렇지 않게 해
네가 세상에 존재하지 않는 것처럼
너에게 상처만 준 걸 알아
미안해 너무 미안해
너의 눈물을 닦아주고파

한 방울 한 방울
너의 눈을 적시던 
눈물을 닦아주고파
하나 둘 한 없이
너의 마음에 쌓이던 
의문에 답해주고파

한 방울 한 방울
너의 눈을 적시는 
눈물을 닦아주고파
하나 둘 한 없이
너의 마음에 쌓이는 
의문에 답해주고파

너의 눈을 적시는 
눈물을 닦아주고파
너의 마음에 쌓이는 
의문에 답해주고파

한 방울 한 방울
너의 눈을 적시는 
눈물을 닦아주고파
하나 둘 한 없이
너의 마음에 쌓이는 
의문에 답해주고파"
29,비밀의 정원,김윤아,"다른 모든 이야기처럼
시작은 소녀와 소년이
다른 모든 사람들 몰래
사랑에 빠지는 것. 
   
영원을 꿈꾸는 소녀. 
사랑을 구하는 소년.
비밀의 정원의 문이 열리네.
슬픔의 문이 열리네.

단 한 번의 입맞춤으로
두 사람은 하나가 되고.
모든 게 변할 거라 
쉽게 말하지 말아요. 
사랑은 끝나지 않으니.

무엇도 두렵지 않아요.
운명이 우리 곁에 있으니.
비밀의 정원의 문이 열리네.
슬픔의 문이 열리네.

상처도 아픔도 모르던
순결한 소녀와 소년은
사랑의 이름을 한 잔인한 놀이로
서로를 부숴 버리네. 

다른 모든 이야기처럼
시작은 소녀와 소년이
다른 모든 사람들 몰래
사랑에 빠지는 것.
다른 모든 이야기처럼
마지막은 소녀와 소년이
다른 모든 사람들처럼
어른이 되는 것."
30,물들어간다,김윤아,"깊어진 내 그림자
그대 꽃잎이 스친다
숨이 멎을 듯 시린 통증이
잿빛 하늘에 붉게 물들어간다

라리라리 라리라라라
라리라리 라리라라라 

거친 바람 속에 홀로 버려져
시들어 버린 꽃잎들을
내 품 안에 재운다

낙엽이 춤을 춘다 
바람 속에 몸을 맡긴다
헝클어진 채로 모두 끝난 듯
잿빛 하늘로 점점 사라져간다

라리라리 라리라라라
라리라리 라리라라라 

거친 바람 속에 홀로 버려져
시들어 버린 꽃잎들을
내 품 안에

너를 담고 잠들어간다
세상은 더 붉게 물든다

어둠 속 깊이 너의 한숨이
어느새 점점 번져
시들어 버린 꽃잎들에
물든다"
31,키리에,김윤아,"쉴 새 없이 가슴을 내리치는 이 고통은 
어째서 나를 죽일 수 없나
 
가슴 안에 가득 찬 너의 기억이, 흔적이
나를 태우네
나를 불태우네

울어도 울어도 네가 돌아올 수 없다면
이건 꿈이야
이건 꿈이야
꿈이야

불러도 불러도 너는 돌아올 수가 없네
나는 지옥에
나는 지옥에 있나 봐

쉴 새 없이 가슴을 내리치는 이 고통은
어째서 나를 죽일 수 없나


차라리 지금 이대로 눈을 감고
다시는 깨어나지 않을 수 있다면

울어도 울어도 네가 돌아올 수 없다면
이건 꿈이야
이건 꿈이야
꿈이야

불러도 불러도 너는 돌아올 수가 없네 
나는 지옥에
나는 지옥에 있나 봐

쉴 새 없이 가슴을 내리치는 이 고통은
어째서 나를 죽일 수 없나"
